f127.0.0.1:2222,127.0.0.1:1111	2113	2	0	15	4
f127.0.0.1:2222,127.0.0.1:1111	2114	1
f127.0.0.1:1111,127.0.0.1:2222	2114	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	2117	1
f127.0.0.1:2222,127.0.0.1:1111	2117	2	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	2118	1
f127.0.0.1:1111,127.0.0.1:2222	2118	2	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	2118	3	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	2118	2
f127.0.0.1:1111,127.0.0.1:2222	2118	-1	19	0
f127.0.0.1:1111,127.0.0.1:2222	2122	1
f127.0.0.1:2222,127.0.0.1:1111	2122	2	0	17	4
f127.0.0.1:2222,127.0.0.1:1111	2123	1
f127.0.0.1:1111,127.0.0.1:2222	2123	2	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	2126	1
f127.0.0.1:2222,127.0.0.1:1111	2126	2	0	18	4
f127.0.0.1:2222,127.0.0.1:1111	2126	1
f127.0.0.1:1111,127.0.0.1:2222	2127	2	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	2131	1
f127.0.0.1:2222,127.0.0.1:1111	2131	2	0	18	4
f127.0.0.1:2222,127.0.0.1:1111	2132	1
f127.0.0.1:1111,127.0.0.1:2222	2135	0
f127.0.0.1:2222,127.0.0.1:1111	2135	1	0	18	4
f127.0.0.1:2222,127.0.0.1:1111	2136	0
f127.0.0.1:1111,127.0.0.1:2222	3127	1	19	0	3
f127.0.0.1:1111,127.0.0.1:2222	3131	0
f127.0.0.1:2222,127.0.0.1:1111	3131	1	0	19	4
f127.0.0.1:2222,127.0.0.1:1111	3131	0
f127.0.0.1:1111,127.0.0.1:2222	3132	1	20	0	3
f127.0.0.1:1111,127.0.0.1:2222	3132	2	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	3132	1
f127.0.0.1:1111,127.0.0.1:2222	3132	-1	21	0
f127.0.0.1:1111,127.0.0.1:2222	3136	0
f127.0.0.1:2222,127.0.0.1:1111	3136	1	0	20	4
f127.0.0.1:2222,127.0.0.1:1111	3136	0
f127.0.0.1:1111,127.0.0.1:2222	3136	1	22	0	3
f127.0.0.1:1111,127.0.0.1:2222	3141	0
f127.0.0.1:2222,127.0.0.1:1111	3141	1	0	20	4
f127.0.0.1:2222,127.0.0.1:1111	3142	0
f127.0.0.1:1111,127.0.0.1:2222	4136	1	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	4141	0
f127.0.0.1:2222,127.0.0.1:1111	4141	1	0	21	4
f127.0.0.1:2222,127.0.0.1:1111	4141	0
f127.0.0.1:2222,127.0.0.1:1111	4141	-1	0	21
f127.0.0.1:1111,127.0.0.1:2222	5136	1	21	0	3
f127.0.0.1:1111,127.0.0.1:2222	5141	0
f127.0.0.1:2222,127.0.0.1:1111	5141	1	0	21	4
f127.0.0.1:2222,127.0.0.1:1111	5141	0
f127.0.0.1:1111,127.0.0.1:2222	5141	1	22	0	3
f127.0.0.1:1111,127.0.0.1:2222	5142	2	23	0	3
f127.0.0.1:1111,127.0.0.1:2222	5146	1
